Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,kjønn
Ninja Nightcrawler,NINJAGO,552.0,39.99,124.0,205.0,Gutt
Stormbringer,NINJAGO,493.0,39.99,108.0,182.0,Gutt
Wu's Battle Dragon,NINJAGO,321.0,19.99,68.0,109.0,Gutt
Fire Stone Mech,NINJAGO,968.0,69.99,136.0,260.0,Gutt
Land Bounty,NINJAGO,1178.0,129.99,252.0,400.0,Gutt
Dragon Pit,NINJAGO,1660.0,129.99,244.0,424.0,Gutt
Firstbourne,NINJAGO,882.0,69.99,172.0,337.0,Gutt
NINJAGO City Docks,NINJAGO,3553.0,229.99,380.0,690.0,Gutt
Castle of the Forsaken Emperor,NINJAGO,1218.0,99.99,248.0,361.0,Gutt
Storm Fighter Battle,NINJAGO,165.0,29.99,100.0,96.0,Gutt
Kai Avatar - Arcade Pod,NINJAGO,49.0,9.99,3.0,31.0,Gutt
Killow vs. Samurai X,NINJAGO,556.0,49.99,128.0,220.0,Gutt
Golden Zane Accessory Set ,NINJAGO,73.0,12.99,5.0,31.0,Gutt
Oni Titan,NINJAGO,522.0,49.99,96.0,183.0,Gutt
Spinjitzu Burst Lloyd,NINJAGO,48.0,9.99,3.0,30.0,Gutt
Spinjitzu Burst - Cole,NINJAGO,48.0,9.99,3.0,31.0,Gutt
Jay Avatar - Arcade Pod,NINJAGO,47.0,9.99,3.0,28.0,Gutt
Kai Fighter,NINJAGO,513.0,39.99,132.0,174.0,Gutt
Jungle Raider,NINJAGO,127.0,9.99,60.0,61.0,Gutt
Cole's Earth Driller ,NINJAGO,587.0,49.99,132.0,216.0,Gutt
Journey to the Skull Dungeons,NINJAGO,401.0,29.99,92.0,164.0,Gutt
Temple of Resurrection,NINJAGO,765.0,69.99,144.0,297.0,Gutt
Ninjago Minifigure Pack,NINJAGO,59.0,12.99,3.0,33.0,Gutt
Cole's Speeder Car,NINJAGO,52.0,9.99,36.0,32.0,Gutt
Lloyd Avatar - Arcade Pod,NINJAGO,48.0,9.99,3.0,28.0,Gutt
Dieselnaut,NINJAGO,1179.0,109.99,156.0,308.0,Gutt
Skull Sorcerer's Dragon,NINJAGO,1016.0,79.99,200.0,303.0,Gutt
Monastery Training,NINJAGO,122.0,9.99,40.0,65.0,Gutt
Spinjitzu Kai,NINJAGO,97.0,9.99,32.0,23.0,Gutt
Kai's Mech Jet,NINJAGO,217.0,19.99,116.0,94.0,Gutt
Spinjitzu Lloyd vs. Garmadon,NINJAGO,208.0,19.99,52.0,44.0,Gutt
Ninja Tuner Car,NINJAGO,419.0,39.99,108.0,143.0,Gutt
The Golden Dragon,NINJAGO,171.0,19.99,60.0,74.0,Gutt
Fire Fang,NINJAGO,463.0,39.99,88.0,175.0,Gutt
Spinjitzu Slam - Kai vs. Samurai,NINJAGO,164.0,19.99,76.0,67.0,Gutt
Spinjitzu Slam - Lloyd,NINJAGO,70.0,9.99,44.0,34.0,Gutt
Jay's Storm Fighter,NINJAGO,490.0,39.99,140.0,195.0,Gutt
Kai's Blade Cycle & Zane's Snowmobile,NINJAGO,376.0,29.99,128.0,189.0,Gutt
Empire Dragon,NINJAGO,286.0,29.99,80.0,118.0,Gutt
Kai's Fire Dragon,NINJAGO,81.0,19.99,60.0,48.0,Gutt
Street Race of Snake Jaguar,NINJAGO,308.0,29.99,112.0,130.0,Gutt
Throne Room Showdown,NINJAGO,221.0,19.99,68.0,111.0,Gutt
Jay - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0,Gutt
Cole's Dirt Bike,NINJAGO,212.0,19.99,56.0,97.0,Gutt
Gamer's Market,NINJAGO,218.0,29.99,64.0,133.0,Gutt
Nya - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,43.0,Gutt
Spinjitzu Zane,NINJAGO,109.0,9.99,32.0,21.0,Gutt
Jay and Lloyd's Velocity Racers,NINJAGO,322.0,29.99,148.0,142.0,Gutt
Katana V11,NINJAGO,257.0,19.99,84.0,111.0,Gutt
Golden Mech,NINJAGO,489.0,39.99,108.0,172.0,Gutt
Shuricopter,NINJAGO,361.0,29.99,100.0,163.0,Gutt
Destiny's Bounty,NINJAGO,1781.0,129.99,316.0,479.0,Gutt
Cole - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,Gutt
The Samurai Mech,NINJAGO,154.0,14.99,48.0,71.0,Gutt
Spinjitzu Cole,NINJAGO,117.0,9.99,32.0,26.0,Gutt
Jay - Spinjitzu Master,NINJAGO,68.0,9.99,32.0,39.0,Gutt
Destiny's Wing,NINJAGO,181.0,19.99,76.0,100.0,Gutt
Spinjitzu Slam - Jay,NINJAGO,72.0,9.99,44.0,37.0,Gutt
Zane's Mino Creature,NINJAGO,616.0,49.99,172.0,202.0,Gutt
Lloyd's Journey,NINJAGO,81.0,14.99,36.0,50.0,Gutt
Skull Sorcerer's Dungeons,NINJAGO,1171.0,99.99,256.0,425.0,Gutt
Jay's Cyber Dragon,NINJAGO,518.0,49.99,84.0,189.0,Gutt
Empire Temple of Madness,NINJAGO,810.0,79.99,160.0,267.0,Gutt
Thunder Raider,NINJAGO,576.0,49.99,148.0,191.0,Gutt
Zane - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,38.0,Gutt
Cole - Spinjitzu Master,NINJAGO,73.0,9.99,32.0,40.0,Gutt
Spinjitzu Nya & Wu,NINJAGO,227.0,19.99,56.0,49.0,Gutt
Katana 4X4,NINJAGO,450.0,49.99,128.0,185.0,Gutt
Spinjitzu Jay,NINJAGO,97.0,9.99,32.0,23.0,Gutt
Golden Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,Gutt
S.O.G. Headquarters,NINJAGO,530.0,39.99,96.0,246.0,Gutt
Spinjitzu Slam - Zane,NINJAGO,63.0,9.99,40.0,37.0,Gutt
Monastery of Spinjitzu,NINJAGO,1070.0,79.99,188.0,359.0,Gutt
Lloyd's Titan Mech,NINJAGO,876.0,79.99,164.0,230.0,Gutt
Kai - Spinjitzu Master,NINJAGO,61.0,9.99,32.0,33.0,Gutt
Kai - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0,Gutt
The Ultra Dragon,NINJAGO,951.0,84.99,160.0,262.0,Gutt
Zane - Dragon Master,NINJAGO,92.0,14.99,48.0,54.0,Gutt
Junkrat & Roadhog,Overwatch,380.0,49.99,92.0,168.0,Gutt
Dorado Showdown,Overwatch,419.0,29.99,124.0,168.0,Gutt
Bastion,Overwatch,602.0,49.99,116.0,168.0,Gutt
Tracer vs. Widowmaker,Overwatch,129.0,14.99,48.0,74.0,Gutt
Watchpoint: Gibraltar,Overwatch,730.0,89.99,192.0,287.0,Gutt
Wrecking Ball,Overwatch,227.0,19.99,84.0,78.0,Gutt
D.Va & Reinhardt,Overwatch,455.0,39.99,108.0,161.0,Gutt
Hanzo vs. Genji,Overwatch,197.0,19.99,60.0,84.0,Gutt
Disney Train and Station,Powered UP,2925.0,329.99,397.0,509.0,ANøytral
App-Controlled Top Gear Rally Car,Powered UP,463.0,129.99,120.0,93.0,ANøytral
Liebherr R 9800,Powered UP,4108.0,449.99,740.0,221.0,ANøytral
4x4 X-Treme Off-Roader,Powered UP,958.0,249.99,224.0,131.0,ANøytral
Mojo Jojo Strikes,Powerpuff Girls,228.0,29.99,76.0,149.0,ANøytral
Bubbles Playground Showdown,Powerpuff Girls,144.0,19.99,48.0,92.0,ANøytral
Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,565.0,29.99,128.0,186.0,Gutt
Nissan GT-R NISMO,Speed Champions,298.0,19.99,80.0,101.0,Gutt
Ferrari 488 GT3 Scuderia Corsa,Speed Champions,179.0,14.99,56.0,78.0,Gutt
1974 Porsche 911 Turbo 3.0,Speed Champions,180.0,14.99,80.0,75.0,Gutt
Ferrari F8 Tributo,Speed Champions,275.0,19.99,72.0,92.0,Gutt
1985 Audi Sport Quattro S1,Speed Champions,250.0,19.99,76.0,102.0,Gutt
Ferrari Ultimate Garage,Speed Champions,841.0,99.99,200.0,309.0,Gutt
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,Speed Champions,481.0,49.99,64.0,187.0,Gutt
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,478.0,29.99,124.0,159.0,Gutt
Lamborghini Urus ST-X & Huracán Super Trofeo EVO ,Speed Champions,663.0,49.99,144.0,202.0,Gutt
Porsche 911 RSR and 911 Turbo 3.0,Speed Champions,391.0,29.99,120.0,166.0,Gutt
1968 Ford Mustang Fastback,Speed Champions,183.0,14.99,60.0,74.0,Gutt
Ford Fiesta M-Sport WRC,Speed Champions,203.0,14.99,60.0,88.0,Gutt
Chevrolet Camaro ZL1 Race Car,Speed Champions,198.0,14.99,60.0,81.0,Gutt
Porsche 919 Hybrid,Speed Champions,163.0,14.99,60.0,75.0,Gutt
McLaren Senna,Speed Champions,219.0,14.99,64.0,92.0,Gutt
Ferrari F40 Competizione,Speed Champions,198.0,14.99,56.0,72.0,Gutt
Molten Man Battle,Spider-Man,294.0,29.99,76.0,117.0,Gutt
Stark Jet and the Drone Attack,Spider-Man,504.0,69.99,96.0,176.0,Gutt
Imperial Star Destroyer,Star Wars,4784.0,699.99,444.0,445.0,Gutt
Bespin Duel,Star Wars,295.0,39.99,96.0,121.0,Gutt
Elite Praetorian Guard Battle Pack,Star Wars,109.0,14.99,40.0,52.0,Gutt
X-wing Starfighter Trench Run,Star Wars,132.0,29.99,64.0,65.0,Gutt
Betrayal at Cloud City,Star Wars,2812.0,349.99,388.0,676.0,Gutt
First Order Specialists Battle Pack,Star Wars,108.0,14.99,36.0,48.0,Gutt
Imperial Patrol Battle Pack,Star Wars,99.0,14.99,36.0,43.0,Gutt
Duel on Mustafar ,Star Wars,208.0,19.99,80.0,84.0,Gutt
DJ,Star Wars,22.0,4.99,3.0,15.0,Gutt
Battle of Endor,Star Wars,197.0,14.99,1.0,40.0,Gutt
Death Star Cannon,Star Wars,159.0,19.99,80.0,79.0,Gutt
Anakin's Jedi Interceptor,Star Wars,248.0,29.99,68.0,100.0,Gutt
Hoth Medical Chamber,Star Wars,255.0,29.99,84.0,120.0,Gutt
Armored Assault Tank (AAT),Star Wars,286.0,39.99,80.0,121.0,Gutt
Kylo Ren & Sith Trooper,Star Wars,240.0,19.99,76.0,72.0,Gutt
Battle of Hoth - 20th Anniversary Edition,Star Wars,195.0,14.99,76.0,77.0,Gutt
Snowspeeder,Star Wars,91.0,19.99,56.0,64.0,Gutt
The Mandalorian & The Child,Star Wars,295.0,19.99,88.0,123.0,Gutt
Rey,Star Wars,119.0,9.99,36.0,50.0,Gutt
Naboo Starfighter Microfighter,Star Wars,62.0,9.99,36.0,42.0,Gutt
T-16 Skyhopper vs Bantha Microfighters,Star Wars,198.0,19.99,84.0,100.0,Gutt
Resistance Y-wing Microfighter,Star Wars,86.0,9.99,40.0,44.0,Gutt
Han Solo,Star Wars,101.0,24.99,44.0,55.0,Gutt
Sandspeeder,Star Wars,278.0,29.99,84.0,110.0,Gutt
A-Wing vs. TIE Silencer Microfighters,Star Wars,188.0,19.99,72.0,88.0,Gutt
Hoth Generator Attack,Star Wars,235.0,29.99,68.0,101.0,Gutt
Sith Infiltrator Microfighter,Star Wars,92.0,9.99,40.0,45.0,Gutt
Resistance A-wing Starfighter,Star Wars,269.0,29.99,84.0,112.0,Gutt
First Order TIE Fighter Microfighter,Star Wars,91.0,9.99,40.0,47.0,Gutt
Anakin's Jedi Starfighter,Star Wars,247.0,19.99,84.0,111.0,Gutt
Obi-Wan Kenobi - Collectable Minifigure,Star Wars,12.0,3.99,6.0,10.0,Gutt
Tatooine Battle Pack,Star Wars,97.0,14.99,36.0,53.0,Gutt
Obi-Wan's Hut,Star Wars,200.0,29.99,68.0,118.0,Gutt
Duel on Starkiller Base,Star Wars,191.0,19.99,68.0,83.0,Gutt
Action Battle Endor Assault,Star Wars,193.0,29.99,64.0,108.0,Gutt
Ski Speeder vs. First Order Walker Microfighters,Star Wars,216.0,19.99,92.0,94.0,Gutt
Anakin's Podracer  20th Anniversary Edition,Star Wars,279.0,29.99,84.0,110.0,Gutt
Luke Skywalker's Landspeeder,Star Wars,236.0,29.99,72.0,104.0,Gutt
Kylo Ren,Star Wars,130.0,9.99,40.0,50.0,Gutt
Kylo Ren's Shuttle Microfighter,Star Wars,72.0,9.99,40.0,40.0,Gutt
501st Legion Clone Troopers,Star Wars,285.0,29.99,84.0,125.0,Gutt
Chewbacca,Star Wars,149.0,9.99,40.0,52.0,Gutt
Darth Vader's Castle,Star Wars,1060.0,129.99,188.0,285.0,Gutt
Resistance Y-wing Starfighter,Star Wars,578.0,69.99,76.0,177.0,Gutt
Porg,Star Wars,811.0,69.99,144.0,189.0,Gutt
Stormtrooper,Star Wars,647.0,59.99,124.0,155.0,Gutt
Han Solo's Landspeeder,Star Wars,345.0,29.99,96.0,126.0,Gutt
Boba Fett,Star Wars,625.0,59.99,116.0,172.0,Gutt
Kylo Ren's Shuttle,Star Wars,1005.0,129.99,184.0,271.0,Gutt
Death Star Escape,Star Wars,329.0,29.99,84.0,110.0,Gutt
Droid Gunship,Star Wars,389.0,49.99,84.0,150.0,Gutt
Moloch's Landspeeder,Star Wars,464.0,39.99,144.0,163.0,Gutt
Ahch-To Island Training,Star Wars,241.0,29.99,84.0,129.0,Gutt
Darth Vader,Star Wars,104.0,9.99,40.0,41.0,Gutt
Millennium Falcon Microfighter,Star Wars,92.0,9.99,44.0,48.0,Gutt
Action Battle Echo Base Defence,Star Wars,504.0,59.99,112.0,192.0,Gutt
Death Star II Battle,Star Wars,235.0,14.99,84.0,72.0,Gutt
Major Vonreg's TIE Fighter,Star Wars,496.0,69.99,92.0,151.0,Gutt
General Grievous's Starfighter,Star Wars,487.0,79.99,96.0,139.0,Gutt
Death Star Final Duel,Star Wars,775.0,99.99,140.0,241.0,Gutt
Range Trooper,Star Wars,101.0,24.99,48.0,51.0,Gutt
Mos Eisley Cantina,Star Wars,376.0,39.99,80.0,140.0,Gutt
First Order AT-ST,Star Wars,370.0,39.99,80.0,157.0,Gutt
TIE Fighter Pilot,Star Wars,724.0,59.99,148.0,155.0,Gutt
Defense of Crait,Star Wars,746.0,84.99,144.0,289.0,Gutt
Imperial AT-Hauler,Star Wars,829.0,99.99,148.0,206.0,Gutt
Yoda's Hut,Star Wars,229.0,29.99,72.0,139.0,Gutt
Imperial Conveyex Transport,Star Wars,622.0,89.99,120.0,187.0,Gutt
Snoke's Throne Room,Star Wars,492.0,69.99,104.0,166.0,Gutt
General Grievous' Combat Speeder,Star Wars,157.0,29.99,60.0,76.0,Gutt
Darth Vader,Star Wars,168.0,39.99,56.0,61.0,Gutt
Slave I - 20th Anniversary Edition,Star Wars,1007.0,119.99,164.0,293.0,Gutt
Clone Scout Walker  20th Anniversary Edition,Star Wars,250.0,29.99,80.0,109.0,Gutt
D-O,Star Wars,519.0,69.99,72.0,149.0,Gutt
Resistance I-TS Transport,Star Wars,932.0,99.99,140.0,215.0,Gutt
Star Wars Advent Calendar,Star Wars,280.0,39.99,2.0,177.0,Gutt
Sith TIE Fighter,Star Wars,470.0,79.99,104.0,127.0,Gutt
Millennium Falcon,Star Wars,1353.0,159.99,268.0,352.0,Gutt
A-wing Starfighter,Star Wars,1673.0,199.99,272.0,355.0,Gutt
Pasaana Speeder Chase,Star Wars,373.0,39.99,116.0,177.0,Gutt
Imperial TIE Fighter,Star Wars,519.0,69.99,76.0,129.0,Gutt
AT-AP Walker,Star Wars,689.0,59.99,140.0,214.0,Gutt
Y-wing Starfighter,Star Wars,1967.0,199.99,220.0,359.0,Gutt
Rebel A-wing Starfighter,Star Wars,62.0,14.99,36.0,44.0,Gutt
Sandcrawler,Star Wars,1239.0,139.99,188.0,277.0,Gutt
Poe Dameron's X-wing Fighter,Star Wars,761.0,89.99,124.0,219.0,Gutt
Star Wars Advent Calendar,Star Wars,307.0,39.99,4.0,186.0,Gutt
AT-AT,Star Wars,1267.0,159.99,188.0,285.0,Gutt
Stormtrooper,Star Wars,124.0,9.99,32.0,51.0,Gutt
Yoda,Star Wars,1771.0,99.99,224.0,235.0,Gutt
Kessel Run Millennium Falcon,Star Wars,1414.0,169.99,208.0,318.0,Gutt
Jedi and Clone Troopers Battle Pack,Star Wars,102.0,14.99,32.0,54.0,Gutt
Snowspeeder  20th Anniversary Edition,Star Wars,309.0,39.99,116.0,159.0,Gutt
Inferno Squad Battle Pack,Star Wars,118.0,14.99,40.0,52.0,Gutt
Mandalorian Battle Pack,Star Wars,102.0,14.99,44.0,59.0,Gutt
Boba Fett,Star Wars,144.0,29.99,48.0,67.0,Gutt
Knights of Ren Transport Ship,Star Wars,595.0,69.99,136.0,182.0,Gutt
Tantive IV,Star Wars,1768.0,199.99,260.0,387.0,Gutt
X-wing Starfighter,Star Wars,730.0,79.99,120.0,224.0,Gutt
Black Ace TIE Interceptor,Star Wars,396.0,49.99,84.0,161.0,Gutt
Droid Commander,Star Wars,1177.0,199.99,25.0,343.0,Gutt
AT-ST Raider,Star Wars,540.0,49.99,120.0,211.0,Gutt
Imperial Landing Craft,Star Wars,636.0,89.99,108.0,191.0,Gutt
Han Solo,Star Wars,141.0,9.99,44.0,51.0,Gutt
Imperial Dropship  20th Anniversary Edition,Star Wars,125.0,19.99,60.0,57.0,Gutt
Sith Troopers Battle Pack,Star Wars,105.0,14.99,40.0,51.0,Gutt
Escape Pod vs. Dewback Microfighters,Star Wars,177.0,19.99,64.0,79.0,Gutt
Darth Maul,Star Wars,104.0,29.99,52.0,43.0,Gutt
Cloud-Rider Swoop Bikes,Star Wars,355.0,29.99,92.0,148.0,Gutt
TIE Fighter Attack,Star Wars,77.0,19.99,40.0,50.0,Gutt
The Upside Down,Stranger Things,2287.0,199.99,300.0,533.0,ANøytral
Benny's Space Squad,THE LEGO MOVIE 2,68.0,9.99,32.0,53.0,ANøytral
Queen Watevra's So-Not-Evil' Space Palace,THE LEGO MOVIE 2,997.0,99.99,212.0,275.0,ANøytral
Emmet's Dream House/Rescue Rocket!,THE LEGO MOVIE 2,706.0,69.99,260.0,197.0,ANøytral
Emmet and Benny's 'Build and Fix' Workshop!,THE LEGO MOVIE 2,117.0,19.99,48.0,73.0,ANøytral
Sweet Mayhem's Systar Starship!,THE LEGO MOVIE 2,502.0,69.99,100.0,188.0,ANøytral
Unikitty's Sweetest Friends EVER!,THE LEGO MOVIE 2,76.0,9.99,36.0,50.0,ANøytral
Lucy's Builder Box!,THE LEGO MOVIE 2,141.0,29.99,56.0,71.0,ANøytral
Rex's Rex-treme Offroader!,THE LEGO MOVIE 2,236.0,29.99,132.0,109.0,ANøytral
LEGO Movie Maker,THE LEGO MOVIE 2,482.0,49.99,96.0,243.0,ANøytral
Good Morning Sparkle Babies!,THE LEGO MOVIE 2,50.0,9.99,32.0,44.0,ANøytral
Queen Watevra's Build Whatever Box!,THE LEGO MOVIE 2,455.0,39.99,262.0,112.0,ANøytral
Emmet and Lucy's Visitors from the DUPLO Planet,THE LEGO MOVIE 2,53.0,29.99,25.0,37.0,ANøytral
Rex's Plantimal Ambush,THE LEGO MOVIE 2,32.0,3.99,3.0,23.0,ANøytral
Emmet's Triple-Decker Couch Mech,THE LEGO MOVIE 2,312.0,29.99,92.0,98.0,ANøytral
Emmet's Thricycle!,THE LEGO MOVIE 2,174.0,14.99,84.0,100.0,ANøytral
Emmet's Builder Box!,THE LEGO MOVIE 2,125.0,29.99,56.0,76.0,ANøytral
The Rexcelsior!,THE LEGO MOVIE 2,1826.0,149.99,276.0,377.0,ANøytral
Wyld-Mayhem Star Fighter,THE LEGO MOVIE 2,405.0,49.99,132.0,157.0,ANøytral
Ultrakatty & Warrior Lucy!,THE LEGO MOVIE 2,348.0,29.99,92.0,119.0,ANøytral
Pop-Up Party Bus,THE LEGO MOVIE 2,1024.0,79.99,172.0,294.0,ANøytral
Welcome to Apocalypseburg!,THE LEGO MOVIE 2,3178.0,299.99,452.0,692.0,ANøytral
Systar Party Crew,THE LEGO MOVIE 2,196.0,19.99,80.0,104.0,ANøytral
Emmet and Lucy's Escape Buggy!,THE LEGO MOVIE 2,550.0,49.99,124.0,199.0,ANøytral
Rex's Rexplorer!,THE LEGO MOVIE 2,1187.0,119.99,208.0,299.0,ANøytral
Introducing Queen Watevra Wa'Nabi,THE LEGO MOVIE 2,115.0,19.99,48.0,82.0,ANøytral
Shimmer & Shine Sparkle Spa!,THE LEGO MOVIE 2,694.0,69.99,128.0,209.0,ANøytral
Concrete Mixer Truck,Technic,1163.0,119.99,216.0,127.0,Gutt
Hook Loader,Technic,176.0,14.99,104.0,48.0,Gutt
Remote-Controlled Stunt Racer,Technic,324.0,99.99,72.0,78.0,Gutt
Dom's Dodge Charger,Technic,1077.0,99.99,236.0,172.0,Gutt
Mini CLAAS XERION,Technic,130.0,12.99,56.0,45.0,Gutt
First Responder,Technic,513.0,49.99,212.0,106.0,Gutt
Racing Yacht,Technic,330.0,39.99,156.0,83.0,Gutt
Ducati Panigale V4 R,Technic,646.0,69.99,128.0,128.0,Gutt
Race Truck,Technic,227.0,19.99,35.0,59.0,Gutt
Chevrolet Corvette ZR1,Technic,579.0,49.99,233.0,105.0,Gutt
Stunt Show Truck & Bike,Technic,610.0,49.99,120.0,109.0,Gutt
Mobile Crane,Technic,1292.0,99.99,272.0,144.0,Gutt
Power Boat,Technic,174.0,14.99,98.0,56.0,Gutt
Catamaran,Technic,404.0,49.99,100.0,74.0,Gutt
Dozer Compactor,Technic,171.0,19.99,100.0,62.0,Gutt
Police Pursuit,Technic,120.0,19.99,114.0,39.0,Gutt
Rescue Helicopter,Technic,325.0,39.99,181.0,81.0,Gutt
BASH!,Technic,139.0,19.99,127.0,46.0,Gutt
Cherry Picker,Technic,155.0,9.99,40.0,51.0,Gutt
Getaway Truck,Technic,128.0,19.99,110.0,33.0,Gutt
Dragster,Technic,225.0,19.99,80.0,68.0,Gutt
WHACK!,Technic,135.0,19.99,123.0,41.0,Gutt
Buggy,Technic,117.0,12.99,48.0,47.0,Gutt
Lamborghini Sián FKP 37,Technic,3696.0,379.99,657.0,293.0,Gutt
Porsche 911 RSR,Technic,1580.0,149.99,296.0,178.0,Gutt
Heavy Duty Forklift,Technic,592.0,69.99,232.0,109.0,Gutt
Rough Terrain Crane,Technic,4057.0,299.99,1527.0,262.0,Gutt
6x6 Volvo Articulated Hauler,Technic,2193.0,249.99,456.0,234.0,Gutt
Car Transporter,Technic,2493.0,179.99,961.0,190.0,Gutt
Land Rover Defender,Technic,2573.0,199.99,496.0,262.0,Gutt
Volvo Concept Wheel Loader ZEUX,Technic,1167.0,139.99,504.0,143.0,Gutt
Mack Anthem,Technic,2595.0,179.99,897.0,253.0,Gutt
Bugatti Chiron,Technic,3599.0,349.99,633.0,306.0,Gutt
Compact Crawler Crane,Technic,920.0,99.99,344.0,102.0,Gutt
Rally Car,Technic,1005.0,109.99,364.0,152.0,Gutt
Forest Harvester,Technic,1003.0,149.99,388.0,157.0,Gutt
Tracked Loader,Technic,827.0,79.99,140.0,128.0,Gutt
Hovercraft,Technic,1020.0,89.99,349.0,139.0,Gutt
Poppy's Air Balloon Adventure,Trolls World Tour,250.0,29.99,68.0,121.0,Jente
Lonesome Flats Raft Adventure,Trolls World Tour,159.0,29.99,100.0,110.0,Jente
Techno Reef Dance Party,Trolls World Tour,173.0,19.99,72.0,85.0,Jente
Volcano Rock City Concert,Trolls World Tour,387.0,39.99,120.0,175.0,Jente
Poppy's Carriage,Trolls World Tour,51.0,4.99,3.0,30.0,Jente
Pop Village Celebration,Trolls World Tour,380.0,49.99,120.0,205.0,Jente
Vibe City Concert,Trolls World Tour,494.0,59.99,204.0,216.0,Jente
Rainbow Caterbus,Trolls World Tour,395.0,39.99,132.0,170.0,Jente
Poppy's Pod,Trolls World Tour,103.0,19.99,68.0,70.0,Jente
Dr. Fox Laboratory,Unikitty,359.0,29.99,132.0,163.0,Jente
Unikitty Roller Coaster Wagon,Unikitty,46.0,3.99,3.0,28.0,Jente
Party Time,Unikitty,214.0,19.99,80.0,119.0,Jente
Unikingdom Creative Brick Box,Unikitty,433.0,39.99,172.0,220.0,Jente
Prince Puppycorn Trike,Unikitty,101.0,9.99,56.0,65.0,Jente
Unikitty Cloud Car,Unikitty,126.0,9.99,60.0,83.0,Jente
Traffic Lights,Xtra,46.0,3.99,3.0,17.0,ANøytral
Streetlamps,Xtra,34.0,3.99,3.0,24.0,ANøytral
Sports Accessories,Xtra,36.0,3.99,3.0,20.0,ANøytral
Botanical Accessories,Xtra,32.0,3.99,3.0,17.0,ANøytral
